ts,source,symbol,side,rsi_value,change_24h,oracle_type,btc_bias,entry_price,f_strength,f_chase,f_regime,confirm_would_fire,confluence_count,repeat_n,adx_value,adx_regime,btc_adx_regime,decision,outcome,ret_pct,r_mult,mfe_pct,mae_pct,hours,confirm_fired,confirm_outcome,confirm_r,alt_outcome,alt_r
2026-08-21T18:45:18.022292-05:00,rsi_extreme,STX-USDT,sell,91.1,29.97,,bull,0.188,True,True,False,False,,3,84.6,trending_strong,bull_trending_strong,sell_regime,loss_sl,-5.0,-1.0,0.851,5.053,0.9,yes,loss_sl,-1.0,loss_sl,-1.0
2026-08-21T20:31:11.329002-05:00,rsi_extreme,ETC-USDT,sell,93.7,27.37,,bull,8.94,True,True,False,False,,2,76.0,trending_strong,bull_trending_strong,sell_regime,win_full,7.5,1.5,18.893,1.734,3.7,yes,win_full,1.5,tp_then_be,0.375
2026-08-21T20:44:08.388464-05:00,rsi_extreme,STX-USDT,sell,91.3,33.4,,bull,0.1976,True,True,False,False,,4,85.4,trending_strong,bull_trending_strong,sell_regime,loss_sl,-5.0,-1.0,0.101,5.769,1.3,no,,,loss_sl,-1.0
2026-08-21T21:00:57.810409-05:00,rsi_extreme,ZEC-USDT,sell,90.7,39.93,,bull,814.2,True,True,False,False,,1,74.0,trending_strong,bull_trending_strong,sell_regime,loss_sl,-5.0,-1.0,1.672,5.423,1.8,yes,loss_sl,-1.0,loss_sl,-1.0
2026-08-21T21:51:16.831047-05:00,rsi_extreme,DASH-USDT,sell,90.1,35.99,,bull,45.93,True,True,False,False,,1,45.0,trending_strong,bull_trending_strong,sell_regime,win_full,7.5,1.5,22.708,3.549,2.3,yes,win_full,1.5,win_full,1.375
2026-08-21T22:31:16.731862-05:00,rsi_extreme,ETC-USDT,sell,91.9,28.04,,bull,9.03,True,True,False,False,,3,76.3,trending_strong,bull_trending_strong,sell_regime,win_full,7.5,1.5,19.701,0.354,1.7,yes,win_full,1.5,win_full,1.375
2026-08-21T22:45:29.467364-05:00,rsi_extreme,STX-USDT,sell,95.4,37.92,,bull,0.2104,True,True,False,False,,5,85.9,trending_strong,bull_trending_strong,sell_regime,win_full,7.5,1.5,15.922,1.141,1.4,yes,win_full,1.5,win_full,1.375
2026-08-21T23:02:18.679148-05:00,rsi_extreme,ZEC-USDT,sell,92.4,47.0,,bull,830.24,True,True,False,False,,2,77.2,trending_strong,bull_trending_strong,sell_regime,tp_then_be,2.5,0.5,16.21,1.065,13.3,yes,tp_then_be,0.5,tp_then_be,0.375
2026-08-21T23:35:51.689164-05:00,rsi_extreme,TRUMP-USDT,sell,90.2,69.39,,bull,2.828,True,True,False,False,,1,51.3,trending_strong,bull_trending_strong,sell_regime,loss_sl,-5.0,-1.0,0.849,5.17,0.0,yes,loss_sl,-1.0,loss_sl,-1.0
2026-08-21T23:48:48.024287-05:00,rsi_extreme,POL-USDT,sell,90.4,30.27,,bull,0.10996,True,True,False,False,,1,52.0,trending_strong,bull_trending_strong,sell_regime,tp_then_be,2.5,0.5,9.904,2.055,1.8,yes,tp_then_be,0.5,tp_then_be,0.375
2026-08-22T15:55:09.611992-05:00,rsi_extreme,TUT-USDT,sell,90.0,85.94,,bull,0.0789,True,True,False,False,,1,39.1,trending_strong,bull_trending_strong,sell_regime,win_full,7.5,1.5,18.251,1.407,0.1,yes,win_full,1.5,win_full,1.375
2026-08-23T00:00:31.098855-05:00,oraclealgo,BTC-USDT,sell,,,MSS,bull,76645.8,,,,,1,1,,,bull_trending_strong,counter_bias,open,-0.795,-0.53,1.417,1.446,11.2,,,,open,-0.397
2026-08-23T01:01:15.603334-05:00,oraclealgo,BTC-USDT,sell,,,,bull,76045.3,,,,,1,2,,,bull_trending_strong,counter_bias,loss_sl,-1.5,-1.0,0.217,1.65,5.3,,,,open,-0.714
2026-08-23T09:01:31.895176-05:00,oraclealgo,BTC-USDT,buy,,,MSS,bull,77548.9,,,,,1,3,,,bull_trending_strong,enter,open,-0.379,-0.253,0.12,0.979,2.2,,,,open,-0.189
